year_quarter,tax_burden,actual_cash_demand,legal_cash_demand,excess_cash_ratio,velocity,shadow_method1,shadow_method2,year
2015Q2,26.07440088457791,0.2941584186766745,0.27405567449698426,0.02010274417969027,2.7183963614865196,5.464722663396433,3.6259409775262026,2015
2015Q3,22.50798505106729,0.2914507186939482,0.29574383993837394,-0.004293121244425768,2.741072031971657,0.0,1.6155771898050157,2015
2015Q4,25.184982024009877,0.2814746855303957,0.2949175799519191,-0.01344289442152341,2.727808130631558,0.0,3.1374833056737392,2015
2016Q1,32.273543920684915,0.2652454729034128,0.28902481444862393,-0.023779341545211108,2.7304625384359507,0.0,7.042156172174555,2016
2016Q2,28.740864773446383,0.2759280889623777,0.2808381824947622,-0.00491009353238453,2.6314934404722954,0.0,4.938841902765258,2016
2016Q3,23.775988300052425,0.2762400341712033,0.2863080170871713,-0.010067982915967999,2.5923078854984327,0.0,2.2204008794354397,2016
2016Q4,26.314475344163608,0.2770542478557845,0.2861568734554732,-0.009102625599688718,2.577007759272784,0.0,3.5645354889352645,2016
2017Q1,33.684942502513664,0.2752028242214578,0.2863511057827722,-0.011148281561314366,2.504734095824566,0.0,7.14966142960447,2017
2017Q2,28.21019498514994,0.2764976356136029,0.28537538859454364,-0.008877752980940734,2.4253982991439225,0.0,4.2921385631519815,2017
2017Q3,25.046410920781152,0.2796653137155617,0.28561527287784905,-0.005949959162287355,2.3907517000526943,0.0,2.6811129809954837,2017
2017Q4,26.0930999478416,0.2745934199072708,0.2864144034833446,-0.011820983576073807,2.354018925981843,0.0,3.1489721560817063,2017
2018Q1,31.588875309605307,0.2745458499627983,0.28278443154683464,-0.008238581584036342,2.234440464123849,0.0,5.462032249108815,2018
2018Q2,28.841899009553817,0.2783161489311887,0.2820479183905579,-0.0037317694593691497,2.1292747909433056,0.0,4.039601722442373,2018
2018Q3,25.359324358015456,0.2792628231640074,0.283192390047736,-0.003929566883728586,2.14549488696209,0.0,2.545178432327017,2018
2018Q4,26.434494685539235,0.2869739724012601,0.28307078892218857,0.003903183479071537,2.1555598115556163,0.8413545444614436,3.034694920742758,2018
2019Q1,30.06117028411987,0.2740780942504927,0.28584085660914893,-0.011762762358656254,2.0801266541842347,0.0,4.454640633412307,2019
2019Q2,27.662878475085765,0.2779926424473116,0.2789371569207955,-0.0009445144734839261,2.102265330782675,0.0,3.48698290607107,2019
2019Q3,24.313043071615756,0.2730454603556819,0.281365076192879,-0.008319615837197092,2.0304000699143487,0.0,1.9671634546802528,2019
2019Q4,26.557270094206263,0.270380999677724,0.2791139776074989,-0.008732977929774899,1.9625509371799013,0.0,2.8123850059214734,2019
2020Q1,29.7338583319257,0.2539306068702884,0.27771582335359973,-0.023785216483311333,1.7935548614672407,0.0,3.7236954185340267,2020
2020Q2,26.683361347211857,0.2760320320827355,0.27620204822856154,-0.000170016145826013,1.4947782541506283,0.0,2.1806717664997426,2020
2020Q3,24.583727228323273,0.2813311687728499,0.28555005847944387,-0.0042188897065939535,1.4360445959882682,0.0,1.4723517233486954,2020
2020Q4,27.336043589960756,0.2794428161251046,0.28703266451151305,-0.007589848386408471,1.3702493312529358,0.0,2.18167840299907,2020
2021Q1,29.761325468390677,0.2805677105796905,0.2853403312531237,-0.004772620673433203,1.2824943928259884,0.0,2.669698862390147,2021
2021Q2,28.32115096717443,0.2822706370959014,0.2846630564647522,-0.0023924193688508177,1.232915970432366,0.0,2.209515148227233,2021
2021Q3,25.07674745717451,0.2866645274548989,0.2849474364200896,0.001717091034809326,1.2297496306106919,0.21115920657816994,1.3868438893724924,2021
2021Q4,25.121691993962926,0.2809995375556722,0.28542001842186027,-0.00442048086618807,1.1899728124136846,0.0,1.3530769572017847,2021
