,year_quarter,gdp_s21,gdp_2,gdp_per_capita,schooling,rule_of_law,government_effectiveness,corruption_perceptions,fiscal_freedom,business_freedom,economic_freedom,usd_avg_q,eur_avg_q,interest_rate_avg_q,tax_burden,direct_tax_share,gov_expenditure_share,deflated_tax_revenue,cash_demand,deflated_M1,unemployment_rate,employment_rate,lfp_rate,electricity_consumptions,electricity,tax_burden_s,log_deflated_tax_revenue,dlog_deflated_tax_revenue,log_gdp_s21,dlog_gdp_s21,log_gdp_per_capita,dlog_gdp_per_capita,log_usd_avg_q,dlog_usd_avg_q,log_eur_avg_q,dlog_eur_avg_q,d_schooling,d_rule_of_law,d_government_effectiveness,d_corruption_perceptions,d_fiscal_freedom,d_business_freedom,d_economic_freedom,d_tax_burden,d_direct_tax_share,d_gov_expenditure_share,d_unemployment_rate,d_employment_rate,d_lfp_rate,d_cash_demand,d_interest_rate_avg_q,sdiff_deflated_M1,sdiff_tax_burden,sdiff_gdp_2
22,2015Q3,1216781000000.0,566997000000.0,28344.09919657853,78.5945461011008,36.0,39.0,27,79.0,59.0,47.0,21.721891652173912,24.132549565217392,28.537633333333332,22.50798505106729,49.22598096217195,26.094564874240955,59468326955.46693,0.29145071869394823,206852280197.88968,13.286713286713287,90.4895104895105,71.5,0.005184958539759732,29398559.371681485,2.7518802916706377,24.808709687689177,0.28161508001744195,27.82722996304243,0.003889930869650726,10.252174146277348,0.003889930869650726,3.0783205839149153,0.005097253521531009,3.1835615336167957,0.010902420013375824,-1.7298904534079043,0.0,0.0,0.0,0.0,0.0,0.0,-3.566415833510618,-0.9498168036387185,-8.764439099790987,0.0,0.0,0.0,-0.002707699982726297,-1.462366666666668,59610172772.43399,2.7518802916706377,126521000000.0
23,2015Q4,1220834000000.0,588841000000.0,28438.511119548835,76.8646556476929,36.0,39.0,27,79.0,59.0,47.0,22.84912233695652,25.01613379347826,22.0,25.184982024009877,53.84090978054545,41.89270108569206,71528828554.49635,0.28147468553039573,215865989028.95273,13.286713286713287,90.4895104895105,71.5,0.004714518041077563,27761015.178261533,1.3628490598351028,24.993366401950862,0.18465671426168484,27.830555347678562,0.00332538463613119,10.255499530913479,0.00332538463613119,3.128912706841337,0.0505921229264219,3.219520968457446,0.03595943484065023,-1.7298904534079043,0.0,0.0,0.0,0.0,0.0,0.0,2.676996972942586,4.6149288183734996,15.798136211451105,0.0,0.0,0.0,-0.0099760331635525,-6.537633333333332,62420607910.88922,1.3628490598351028,141698000000.0
24,2016Q1,1236499000000.0,455298000000.0,28916.8508319594,76.90845110315563,37.0,39.6,29,79.0,57.0,47.0,25.65373637362637,28.276404373626377,22.0,32.273543920684915,49.47992660990004,35.14107244046756,54105868551.774,0.2652454729034128,166747572468.36334,13.642756680731363,90.29535864978904,71.1,0.005565477204032243,25339506.40041472,2.3177471063994695,24.714208492918967,-0.27915790903189475,27.843305115173223,0.012749767494661057,10.272179777949281,0.01668024703580251,3.2446892285960582,0.11577652175472108,3.342027689155183,0.12250672069773705,0.04379545546272823,1.0,0.6000000000000014,2.0,0.0,-2.0,0.0,7.0885618966750386,-4.360983170645412,-6.7516286452245,0.3560433940180765,-0.19415183972145655,-0.4000000000000057,-0.016229212626982903,0.0,30976518940.48764,2.3177471063994695,79307000000.0
25,2016Q2,1248089000000.0,535701000000.0,29187.895370727656,76.95224655861836,37.0,39.6,29,79.0,57.0,47.0,25.262259527472523,28.553679296703297,19.196233333333335,28.740864773446383,43.99289189563089,35.54785225340255,66084436314.31734,0.27592808896237775,203572994620.06387,13.642756680731363,90.29535864978904,71.1,0.004096020438447676,21942422.448968586,2.666463888868474,24.91419909941287,0.19999060649390188,27.85263469743562,0.009329582262395775,10.281509360211677,0.009329582262395775,3.229311563732332,-0.01537766486372627,3.351785799837376,0.0097581106821929,0.04379545546272823,0.0,0.0,0.0,0.0,0.0,0.0,-3.5326791472385324,-5.48703471426915,0.40677981293499244,0.0,0.0,0.0,0.010682616058964922,-2.8037666666666645,35564014593.96814,2.666463888868474,78986000000.0
26,2016Q3,1255579000000.0,671456000000.0,29363.05702692906,76.99604201408107,37.0,39.6,29,79.0,57.0,47.0,25.376012630434783,28.346334815217393,15.717733333333332,23.775988300052422,48.870026239419516,30.71778344374017,85374790878.7898,0.2762400341712033,259018615711.57343,13.642756680731363,90.29535864978904,71.1,0.0031334914585245573,21040016.40775065,1.2680032489851314,25.1703167053912,0.2561176059783321,27.858617936702665,0.0059832392670458034,10.287492599478723,0.0059832392670458034,3.233804343183823,0.004492779451490847,3.3444977384020915,-0.0072880614352843764,0.04379545546271402,0.0,0.0,0.0,0.0,0.0,0.0,-4.964876473393961,4.877134343788626,-4.830068809662382,0.0,0.0,0.0,0.0003119452088255481,-3.478500000000004,52166335513.68375,1.2680032489851314,104459000000.0
27,2016Q4,1267837000000.0,722912000000.0,29649.723459735036,77.0398374695438,37.0,39.6,29,79.0,57.0,47.0,25.889607076086953,27.95796031521739,14.290333333333336,26.314475344163608,49.97432062681851,38.61450632995441,108468132114.775,0.2770542478557845,280523796406.4188,13.642756680731363,90.29535864978904,71.1,0.003067383546388225,22174483.742866047,1.1294933201537312,25.40972225355687,0.23940554816566717,27.868333414784566,0.009715478081901097,10.297208077560624,0.009715478081901097,3.253841616981109,0.020037273797286037,3.3307019646051006,-0.013795773796990929,0.04379545546272823,0.0,0.0,0.0,0.0,0.0,0.0,2.5384870441111858,1.104294387398994,7.8967228862142385,0.0,0.0,0.0,0.0008142136845811776,-1.4273999999999951,64657807377.466095,1.1294933201537312,134071000000.0
28,2017Q1,1268374000000.0,591765000000.0,29784.874778381807,77.82963427574262,38.4,40.400000000000006,30,79.0,62.0,48.0,27.061055488888886,28.80885858888889,14.0,33.684942502513664,46.800748686763086,36.59106233048592,93000873961.85982,0.27520282422145786,236258611637.2521,11.980440097799512,90.09779951100245,81.8,0.0037283296100106026,22062949.71667924,1.4113985818287489,25.255874727494863,-0.15384752606200536,27.86875688113498,0.0004234663504156799,10.301755985870026,0.004547908309401549,3.2980956274841233,0.044254010503014474,3.360682929737803,0.02998096513270232,0.7897968061988223,1.3999999999999986,0.8000000000000043,1.0,0.0,5.0,1.0,7.370467158350056,-3.1735719400554245,-2.0234439994684905,-1.662316582931851,-0.1975591387865876,10.700000000000003,-0.00185142363432661,-0.29033333333333644,69511039168.88876,1.4113985818287489,136467000000.0
29,2017Q2,1274370000000.0,664307000000.0,29925.677183012598,78.61943108194146,38.4,40.400000000000006,30,79.0,62.0,48.0,26.46269275824175,29.06404804395605,12.9455,28.21019498514994,48.34193603813828,34.21899814393044,97689571871.66992,0.2764976356136029,273896044305.16678,12.75820170109356,89.42891859052247,82.3,0.003306899544977888,21967965.160256263,-0.5306697882964428,25.30506065408216,0.04918592658729537,27.873473054775527,0.004716173640545662,10.306472159510571,0.004716173640545662,3.2757359206382044,-0.022359706845918925,3.369501947957586,0.008819018219782926,0.7897968061988365,0.0,0.0,0.0,0.0,0.0,0.0,-5.474747517363724,1.5411873513751928,-2.372064186555477,0.7777616032940475,-0.6688809204799782,0.5,0.0012948113921450455,-1.0545000000000009,70323049685.1029,-0.5306697882964428,128606000000.0
30,2017Q3,1285293000000.0,833640000000.0,30182.178961828835,79.40922788814028,38.4,40.400000000000006,30,79.0,62.0,48.0,25.90217825,30.377727771739128,12.5,25.046410920781152,48.74042670173743,30.685415766997743,135425500423.63882,0.2796653137155617,348693676546.011,12.227602905569007,89.83050847457628,82.6,0.0026756947579934954,22305661.780536976,1.2704226207287306,25.631687513692253,0.3266268596100943,27.882007823848337,0.008534769072809922,10.315006928583381,0.008534769072809922,3.2543270674856926,-0.021408853152511842,3.413709700813475,0.04420775285588929,0.7897968061988223,0.0,0.0,0.0,0.0,0.0,0.0,-3.1637840643687873,0.39849066359914787,-3.5335823769326993,-0.5305987955245524,0.4015898840538057,0.29999999999999716,0.003167678101958782,-0.4454999999999991,89675060834.43756,1.2704226207287306,162184000000.0
31,2017Q4,1298154000000.0,891515000000.0,30484.1902570184,80.1990246943391,38.4,40.400000000000006,30,79.0,62.0,48.0,26.961676902173913,31.76426225,13.403233333333333,26.093099947841598,46.02957821616781,40.07951632894569,159755850391.01678,0.2745934199072708,378720404564.35834,11.850060459492141,90.2055622732769,82.7,0.002605878907536891,23231801.342527512,-0.22137539632200998,25.79691255169947,0.16522503800721822,27.891964371240594,0.00995654739225671,10.324963475975638,0.00995654739225671,3.2944164837453203,0.0400894162596277,3.458341829200872,0.04463212838739672,0.7897968061988223,0.0,0.0,0.0,0.0,0.0,0.0,1.0466890270604452,-2.7108484855696133,9.394100561947944,-0.37754244607686616,0.3750537987006197,0.10000000000000853,-0.005071893808290873,0.9032333333333327,98196608157.93951,-0.22137539632200998,168603000000.0
