,year_quarter,tax_revenue,total_expense,indirect_tax,employment,employed_people_thousands,unemployment,unemployed_people_thousands,lfp_rate,labour_force_people_thousands,informal_employed_15_70_thousands,Population,M0,M1,M2,schooling,rule_of_law,government_effectiveness,corruption_perceptions,fiscal_freedom,business_freedom,Financial freedom index (0-100),economic_freedom,electricity,log_electricity,dlog_electricity,usd_avg_q,eur_avg_q,interest_rate_avg_q,cpi_base_2010,nominal_gdp,gdp_s21,gdp_2,2021_deflator,tax_burden,direct_tax_share,gov_expenditure_share,deflated_tax_revenue,gdp_per_capita,cash_demand,deflated_M1,unemployment_rate,employment_rate,electricity_consumptions
10,2012Q3,87422000000.0,118835600000.0,44282200000.0,67.1,0.0,8.1,0.0,73.0,0.0,,45633600.0,200758569300.0,318623160900.0,722423864900.0,84.10945148261445,36.6,36.0,26,78.0,46.0,30.0,46.0,34935246.7926439,17.36900681428162,-0.0015819114528312,7.992956521739131,9.98611320652174,7.5,104.26666666666668,350793080000.0,1445681000000.0,387109000000.0,373.4557966877546,22.58330341066728,49.34661755622155,30.69822711432697,23408928385.9994,31680.187405771187,0.27789581581415446,85317503095.66086,11.095890410958903,91.91780821917807,0.00902465372611949
11,2012Q4,96941700000.0,156695400000.0,47059400000.0,67.1,0.0,8.1,0.0,73.0,0.0,,45633600.0,190944901600.0,302071854300.0,726310446800.0,83.8798999891598,36.6,36.0,26,78.0,46.0,30.0,46.0,33906839.23458256,17.339127299335242,-0.0298795149463764,7.992999999999999,10.372481402173912,7.5,104.2,357290900000.0,1444974000000.0,379231000000.0,381.02739491233575,25.56270452573761,51.455978180700356,41.31924869011236,25442186387.22911,31664.69443567897,0.26289708820969143,79278250942.9535,11.095890410958903,91.91780821917807,0.008940946081565737
12,2013Q1,87643300000.0,112102800000.0,38624700000.0,67.4,0.0,7.7,0.0,73.1,0.0,,45553000.0,201436144600.0,329834310300.0,785522394200.0,83.29292780609094,35.6,35.199999999999996,25,78.0,48.0,30.0,46.0,33794858.47604042,17.335819232788943,-0.0033080665462996,7.992999999999999,10.548974966666668,7.5,104.53333333333336,360878970000.0,1444395000000.0,303753000000.0,475.516291197124,28.85347634426656,55.92966033912461,36.90590710215208,18431187663.277702,31708.010449366673,0.25643590314843756,69363409078.92639,10.533515731874147,92.20246238030097,0.011125769449533147
13,2013Q2,86555400000.0,127033000000.0,41228300000.0,67.4,0.0,7.7,0.0,73.1,0.0,,45553000.0,213919334900.0,352252480900.0,819279956300.0,82.7059556230221,35.6,35.199999999999996,25,78.0,48.0,30.0,46.0,34362427.75504737,17.352474309017555,0.0166550762286128,7.993,10.435608142857143,7.383333333333333,104.56666666666666,363028600000.0,1431923000000.0,354814000000.0,403.5700395136606,24.39458420468189,52.36773211145693,35.8027022609029,21447429572.400196,31434.21948060501,0.26110651585581823,87284101001.27774,10.533515731874147,92.20246238030097,0.009684631315294033
14,2013Q3,88178300000.0,119911200000.0,41570900000.0,67.4,0.0,7.7,0.0,73.1,0.0,,45553000.0,225226020000.0,370150426700.0,854177539300.0,82.11898343995325,35.6,35.199999999999996,25,78.0,48.0,30.0,46.0,34904161.93038435,17.368116633082188,0.0156423240646326,7.992999999999999,10.583157782608696,6.731166666666667,103.96666666666664,366481200000.0,1408739000000.0,398000000000.0,353.9545226130653,22.15535175879397,52.855861362716226,30.12844221105528,24912324710.25506,30925.273856826116,0.26367588661318947,104575701976.44844,10.533515731874147,92.20246238030097,0.008769889932257375
15,2013Q4,91591100000.0,146796800000.0,43513500000.0,67.4,0.0,7.7,0.0,73.1,0.0,,45553000.0,227806581000.0,371800029300.0,877131933700.0,81.5320112568844,35.6,35.199999999999996,25,78.0,48.0,30.0,46.0,34498191.83852785,17.356417470150657,-0.0116991629315315,7.992999999999999,10.875501782608696,6.5,104.43333333333334,374809230000.0,1513061000000.0,408631000000.0,370.2756276445008,22.414134023116212,52.491563044881,35.92404883623612,24735924582.08889,33215.397449125194,0.25971757753596425,100411693760.45532,10.533515731874147,92.20246238030097,0.008442382452268147
16,2014Q1,83519700000.0,111642300000.0,35557700000.0,64.5,0.0,9.7,0.0,71.4,0.0,,45426200.0,253072080300.0,388358615100.0,929876519300.0,82.09506280799442,35.4,39.6,26,79.0,60.0,30.0,49.0,33583810.11266365,17.32955466692532,-0.0268628032253381,8.862673333333333,12.147707166666668,6.5,106.26666666666668,386937700000.0,1441447000000.0,316905000000.0,454.8514539057447,26.354806645524686,57.42597255497805,35.22894873858096,18361972745.78947,31731.621839379037,0.27215665203645495,85381416672.45863,13.585434173669467,90.3361344537815,0.010597437753479324
17,2014Q2,90452300000.0,132599200000.0,47686200000.0,64.5,0.0,9.7,0.0,71.4,0.0,,45426200.0,286747493300.0,424681607200.0,949334544800.0,82.65811435910445,35.4,39.6,26,79.0,60.0,30.0,49.0,32890642.171430673,17.3086987427977,-0.0208559241276198,11.696175450549449,16.042706483516483,9.033333333333331,114.8,394621810000.0,1383366000000.0,382391000000.0,361.76740561362584,23.65440086194497,47.28027921899167,34.67633913978101,25002888208.398933,30453.042517313796,0.30205104709468905,117390787729.9393,13.585434173669467,90.3361344537815,0.008601311791185114
18,2014Q3,87020900000.0,119827100000.0,43450200000.0,64.5,0.0,9.7,0.0,71.4,0.0,,45426200.0,289686040700.0,442649936600.0,1011140316000.0,83.22116591021448,35.4,39.6,26,79.0,60.0,30.0,49.0,30397652.482063234,17.229875942409993,-0.0788228003877051,12.577152673913044,16.67308975,11.983866666666666,119.23333333333332,405267580000.0,1324191000000.0,440476000000.0,300.6272759469301,19.756104759396653,50.06923624094901,27.204002034163043,28946441977.328045,29150.380177078427,0.28649440252365527,147242107425.4557,13.585434173669467,90.3361344537815,0.006901091655859396
19,2014Q4,106519000000.0,159057100000.0,57429800000.0,64.5,0.0,9.7,0.0,71.4,0.0,,45426200.0,282441347300.0,435545309600.0,969155942900.0,83.7842174613245,35.4,39.6,26,79.0,60.0,30.0,49.0,31534725.233842436,17.26659988498794,0.0367239425779466,14.433596282608695,18.025858836956523,13.3,127.6,400087910000.0,1269188000000.0,447143000000.0,283.84387097639905,23.822132964174774,46.08492381640834,35.571864034548234,37527320788.56718,27939.55910906041,0.2914302382079527,153445381118.0635,13.585434173669467,90.3361344537815,0.007052492208050319
