,year_quarter,gdp_s21,gdp_2,gdp_per_capita,schooling,rule_of_law,government_effectiveness,corruption_perceptions,fiscal_freedom,business_freedom,economic_freedom,usd_avg_q,eur_avg_q,interest_rate_avg_q,tax_burden,direct_tax_share,gov_expenditure_share,deflated_tax_revenue,cash_demand,deflated_M1,unemployment_rate,employment_rate,lfp_rate,electricity_consumptions,electricity
23,2015Q4,1220834000000.0,588841000000.0,28438.511119548835,76.8646556476929,36.0,39.0,27,79.0,59.0,47.0,22.84912233695652,25.01613379347826,22.0,25.184982024009877,53.84090978054545,41.89270108569206,71528828554.49635,0.28147468553039573,215865989028.95273,13.286713286713287,90.4895104895105,71.5,0.004714518041077563,27761015.178261533
24,2016Q1,1236499000000.0,455298000000.0,28916.8508319594,76.90845110315563,37.0,39.6,29,79.0,57.0,47.0,25.65373637362637,28.276404373626377,22.0,32.273543920684915,49.47992660990004,35.14107244046756,54105868551.774,0.2652454729034128,166747572468.36334,13.642756680731363,90.29535864978904,71.1,0.005565477204032243,25339506.40041472
25,2016Q2,1248089000000.0,535701000000.0,29187.895370727656,76.95224655861836,37.0,39.6,29,79.0,57.0,47.0,25.262259527472523,28.553679296703297,19.196233333333335,28.740864773446383,43.99289189563089,35.54785225340255,66084436314.31734,0.27592808896237775,203572994620.06387,13.642756680731363,90.29535864978904,71.1,0.004096020438447676,21942422.448968586
26,2016Q3,1255579000000.0,671456000000.0,29363.05702692906,76.99604201408107,37.0,39.6,29,79.0,57.0,47.0,25.376012630434783,28.346334815217393,15.717733333333332,23.775988300052422,48.870026239419516,30.71778344374017,85374790878.7898,0.2762400341712033,259018615711.57343,13.642756680731363,90.29535864978904,71.1,0.0031334914585245573,21040016.40775065
27,2016Q4,1267837000000.0,722912000000.0,29649.723459735036,77.0398374695438,37.0,39.6,29,79.0,57.0,47.0,25.889607076086953,27.95796031521739,14.290333333333336,26.314475344163608,49.97432062681851,38.61450632995441,108468132114.775,0.2770542478557845,280523796406.4188,13.642756680731363,90.29535864978904,71.1,0.003067383546388225,22174483.742866047
28,2017Q1,1268374000000.0,591765000000.0,29784.874778381807,77.82963427574262,38.4,40.400000000000006,30,79.0,62.0,48.0,27.061055488888886,28.80885858888889,14.0,33.684942502513664,46.800748686763086,36.59106233048592,93000873961.85982,0.27520282422145786,236258611637.2521,11.980440097799512,90.09779951100245,81.8,0.0037283296100106026,22062949.71667924
29,2017Q2,1274370000000.0,664307000000.0,29925.677183012598,78.61943108194146,38.4,40.400000000000006,30,79.0,62.0,48.0,26.46269275824175,29.06404804395605,12.9455,28.21019498514994,48.34193603813828,34.21899814393044,97689571871.66992,0.2764976356136029,273896044305.16678,12.75820170109356,89.42891859052247,82.3,0.003306899544977888,21967965.160256263
30,2017Q3,1285293000000.0,833640000000.0,30182.178961828835,79.40922788814028,38.4,40.400000000000006,30,79.0,62.0,48.0,25.90217825,30.377727771739128,12.5,25.046410920781152,48.74042670173743,30.685415766997743,135425500423.63882,0.2796653137155617,348693676546.011,12.227602905569007,89.83050847457628,82.6,0.0026756947579934954,22305661.780536976
31,2017Q4,1298154000000.0,891515000000.0,30484.1902570184,80.1990246943391,38.4,40.400000000000006,30,79.0,62.0,48.0,26.961676902173913,31.76426225,13.403233333333333,26.093099947841598,46.02957821616781,40.07951632894569,159755850391.01678,0.2745934199072708,378720404564.35834,11.850060459492141,90.2055622732769,82.7,0.002605878907536891,23231801.342527512
32,2018Q1,1306924000000.0,706141000000.0,30833.569258063908,80.52293642601548,39.6,42.800000000000004,32,80.0,63.0,52.0,27.32034352222222,33.5632985,15.919333333333334,31.588875309605307,50.393433215877195,35.679446456161024,120522099021.82532,0.27454584996279835,316025873742.34937,11.571254567600487,90.62119366626067,82.1,0.0033190200899898287,23436961.653655075
