year_quarter,eta_z_change,eta_level,KIIS_2017_18_q,KIIS_2017_18_4qma,NBU_2018_q,NBU_2018_4qma,HS_2010_q,HS_2010_4qma,HS_2011_q,HS_2011_4qma,HS_2012_q,HS_2012_4qma,HS_2013_q,HS_2013_4qma
2013Q2,-0.14237977450995398,-0.44003321425055686,36.926075947046265,35.925182329414085,21.274362816463764,20.273469198831584,55.564672955177,54.56377933754482,54.32358557984851,53.32269196221633,56.92503731358667,55.92414369595449,52.968247505909204,51.967353888277025
2013Q3,0.04987312770160779,-0.39016008654894907,37.37160186425614,36.837625076961444,21.719888733673645,21.185911946378944,56.01019887238688,55.476222085092175,54.76911149705839,54.23513470976369,57.37056323079655,56.836586443501844,53.41377342311908,52.87979663582438
2013Q4,0.009409091095641475,-0.3807509954533076,37.45565502341588,37.48782844113707,21.80394189283338,21.836115310554565,56.09425203154662,56.1264254492678,54.85316465621813,54.885338073939316,57.454616389956286,57.48678980767747,53.49782658227881,53.53
2014Q1,1.669721563732827,1.2889705682795194,52.37158802080038,41.03123021387967,36.71987489021788,25.379517083297166,71.01018502893112,59.669827222010404,69.76909765360263,58.428739846681914,72.37054938734079,61.03019158042007,68.41375957966332,57.0734017727426
2014Q2,-0.4549056969541057,0.8340648713254137,48.30783089908804,43.87666895189011,32.65611776850554,28.22495582130761,66.94642790721878,62.51526596002085,65.70534053189029,61.27417858469235,68.30679226562845,63.87563031843052,64.35000245795098,59.91884051075304
2014Q3,0.1590915323062878,0.9931564036317015,49.729025119654224,46.96602476573963,34.077311989071724,31.314311635157132,68.36762212778495,65.60462177387036,67.12653475245646,64.36353439854187,69.72798648619462,66.96498613228005,65.77119667851716,63.008196324602565
2014Q4,-0.1624300054312807,0.8307263982004208,48.2780076983056,49.67161293446206,32.62629456772311,34.01989980387956,66.91660470643635,68.31020994259279,65.67551733110786,67.0691225672643,68.27696906484601,69.67057430100246,64.32017925716855,65.713784493325
2015Q1,-0.5376869455293574,0.29303945267106346,43.4747503006144,47.44740350441556,27.823037170031903,31.795690373833068,62.11334730874514,66.0860005125463,60.87225993341665,64.84491313721782,63.47371166715481,67.44636487095597,59.51692185947734,63.48957506327851
2015Q2,0.04967789242478282,0.3427173450958463,43.91853214481768,46.35007881584798,28.266819014235182,30.69836568526548,62.55712915294842,64.98867582397871,61.31604177761993,63.74758844865023,63.91749351135809,66.34904018238838,59.96070370368062,62.39225037471091
2015Q3,-0.018384990538988538,0.3243323545568577,43.754295608024066,44.85639643794043,28.102582477441565,29.20468330735794,62.3928926161548,63.49499344607118,61.15180524082631,62.25390607074269,63.753256974564465,64.85535780448085,59.796467166887,60.89856799680338
2015Q4,0.2457689138111235,0.5701012683679813,45.9497949840106,44.27434325936669,30.2980818534281,28.622630128784188,64.58839199214134,62.912940267497426,63.34730461681285,61.67185289216893,65.94875635055101,64.27330462590709,61.99196654287354,60.31651481822963
2016Q1,-0.8795366924027431,-0.3094354240347619,38.09273027479559,42.92883825291198,22.44101714421309,27.277125122329487,56.73132728292633,61.56743526104272,55.49023990759784,60.32634788571423,58.091691641336,62.92779961945239,54.134901833658525,58.97100981177492
2016Q2,-0.23376299833854336,-0.5431984223733053,36.004481972671286,40.950325709875386,20.352768842088786,25.298612579292886,54.64307898080202,59.58892271800612,53.40199160547353,58.347835342677634,56.003443339211685,60.949287076415786,52.04665353153422,56.99249726873832
2016Q3,0.2582155947531236,-0.2849828276201817,38.31116986236165,39.589544273459786,22.659456731779155,23.937831142877286,56.94976687049239,58.22814128159052,55.7086794951639,56.987053906262034,58.31013122890206,59.588505640000186,54.35334142122459,55.63171583232272
2016Q4,0.07912198065759696,-0.20586084696258472,39.017981218064975,37.85659083197338,23.366268087482474,22.204877701390878,57.65657822619571,56.49518784010411,56.41549085086722,55.254100464775625,59.01694258460538,57.85555219851378,55.060152776927914,53.89876239083631
2017Q1,-0.25911896753970676,-0.4649798145022915,36.70322333140684,37.509214096126186,21.051510200824342,21.857500965543686,55.34182033953758,56.14781110425693,54.10073296420909,54.90672372892844,56.702184697947246,57.508175462666586,52.74539489026978,53.55138565498912
2017Q2,0.09986093083725933,-0.36511888366503215,37.595299582787966,37.90691849865536,21.943586452205466,22.255205368072858,56.233896590918704,56.54551550678609,54.99280921559021,55.304428131457605,57.594260949328365,57.90587986519576,53.6374711416509,53.94909005751829
2017Q3,0.04561805756557244,-0.31950082609945973,38.00281416779322,37.82982957501325,22.351101037210718,22.17811644443075,56.641411175923956,56.46842658314399,55.400323800595466,55.22733920781549,58.001775534333625,57.828790941553656,54.04498572665616,53.87200113387619
2017Q4,-0.10197971814453893,-0.42148054424399867,37.09181039568197,37.34828686941749,21.44009726509947,21.696573738835,55.730407403812706,55.98688387754824,54.489320028484215,54.74579650221975,57.090771762222374,57.3472482359579,53.13398195454491,53.39045842828043
2018Q1,0.306604865292857,-0.11487567895114165,39.83076863082406,38.130173194271805,24.17905550024156,22.478460063689305,58.4693656389548,56.768770202402536,57.22827826362631,55.527682827074045,59.82972999736447,58.12913456081221,55.872940189687,54.172344753134745
