n_causes,n_indicators,n_sig_causes,n_sig_inds,correct_g,correct_l,mean_abs_z,chi2,df,pvalue,cfi,tli,rmsea,aic,bic,score,causes,indicators
3,2,2,1,2,2,2.14703164321408,5.272234655065983,2,0.07163888058049117,0.8899987149919104,0.44999357495955206,0.19283278952672675,598.8002549864009,611.2895824238287,5.248036497654741,d_direct_tax_share|d_corruption_perceptions|d_government_effectiveness,d_employment_rate|dlog_deflated_tax_revenue
4,3,3,1,3,2,1.876714947892613,10.887005313956287,8,0.20818420526824544,0.9088346364656464,0.7606909207223218,0.09056334601769785,845.2045831573196,863.0464794965022,5.229338161455928,d_tax_burden|d_direct_tax_share|d_corruption_perceptions|d_government_effectiveness,d_lfp_rate|d_employment_rate|sdiff_gdp_2
3,2,2,1,2,1,1.644536793542267,5.351525969874455,2,0.06885427357434304,0.9354087210058455,0.6770436050292277,0.1951551239013134,576.738574693197,589.2279021306249,5.19778701268756,d_direct_tax_share|d_unemployment_rate|d_corruption_perceptions,sdiff_gdp_2|sdiff_deflated_M1
3,3,1,2,3,3,5.147426140914869,126.0169666404468,6,0.0,0.42978740863999854,-0.42553147840000355,0.6742475228897059,661.6696987904155,677.7274054956798,5.181409280758153,dlog_gdp_per_capita|d_tax_burden|d_unemployment_rate,d_employment_rate|d_lfp_rate|dlog_deflated_tax_revenue
3,2,0,1,3,2,1.354406269638017,0.8711382530334078,2,0.6468963963989198,1.0,5.290824295137114,0.0,622.8309619243854,635.3202893618133,5.135440626963802,d_tax_burden|d_direct_tax_share|d_corruption_perceptions,sdiff_deflated_M1|d_employment_rate
3,2,2,1,1,1,2.7980799673034356,2.8722143515337137,2,0.23785187434553823,0.9744057361733581,0.8720286808667908,0.09955665081738145,592.0689658986624,604.5582933360903,5.1131413300636765,d_tax_burden|d_unemployment_rate|d_government_effectiveness,dlog_deflated_tax_revenue|sdiff_deflated_M1
3,2,2,0,3,2,2.731368505197936,1.2445441078490695,2,0.5367235862692712,1.0,1.1416030466790599,0.0,597.8446762466114,610.3340036840392,5.106470183853126,d_direct_tax_share|d_unemployment_rate|d_corruption_perceptions,d_lfp_rate|sdiff_deflated_M1
3,2,1,1,3,2,4.2490907713975545,101.99266250555955,2,0.0,0.45834873499576745,-1.7082563250211626,1.065964472083847,540.6608355462953,553.1501629837231,5.0915757438064215,dlog_gdp_per_capita|d_tax_burden|d_unemployment_rate,d_employment_rate|d_lfp_rate
3,2,1,1,1,2,4.227059936925642,2.169308154071256,2,0.33801869410160723,0.997603101611358,0.98801550805679,0.043862926216387745,554.8082185140894,567.2975459515172,5.08937266035923,d_direct_tax_share|d_unemployment_rate|d_government_effectiveness,d_employment_rate|dlog_deflated_tax_revenue
3,2,1,1,3,2,4.176080553541551,102.73651831462261,2,0.0,0.4499556779436543,-1.7502216102817287,1.0699220357886672,542.869231532848,555.3585589702758,5.0842747220208215,d_tax_burden|d_direct_tax_share|d_unemployment_rate,d_employment_rate|d_lfp_rate
